aX,aY,aZ,gX,gY,gZ
0.579,-0.564,1.680,45.166,72.083,44.800
0.609,-0.618,1.830,47.668,88.745,51.514
0.656,-0.661,1.971,46.875,103.210,57.373
0.693,-0.676,2.074,41.809,115.906,64.087
0.717,-0.688,2.133,31.189,126.892,72.876
0.712,-0.703,2.147,15.442,137.451,82.825
0.672,-0.688,2.125,-1.160,145.813,93.262
0.635,-0.672,2.089,-14.648,150.818,103.027
0.593,-0.650,2.023,-29.114,154.907,109.253
0.541,-0.610,1.928,-42.175,161.987,112.000
0.459,-0.554,1.799,-53.040,173.584,115.417
0.395,-0.472,1.655,-60.181,188.416,119.629
0.315,-0.391,1.506,-63.782,201.660,123.291
0.251,-0.341,1.416,-62.439,213.257,125.061
0.196,-0.309,1.359,-57.190,221.008,123.901
0.192,-0.273,1.327,-50.537,223.267,118.713
0.202,-0.226,1.274,-45.532,221.863,113.647
0.160,-0.163,1.218,-46.875,218.750,110.901
0.116,-0.104,1.111,-51.392,211.365,109.314
0.052,-0.053,0.990,-56.274,195.740,105.713
0.039,-0.021,0.881,-59.387,177.673,99.426
0.051,0.025,0.801,-58.289,160.339,92.224
0.003,0.097,0.715,-55.237,146.790,86.548
-0.029,0.164,0.649,-48.828,145.386,82.764
-0.062,0.112,0.556,-35.339,148.926,78.674
-0.069,0.152,0.515,-31.860,146.973,77.454
-0.067,0.097,0.443,-27.161,141.418,71.472
-0.031,0.118,0.405,-30.823,133.911,67.505
-0.011,0.151,0.339,-32.715,127.441,64.819
-0.000,0.184,0.268,-34.424,121.765,63.538
0.016,0.207,0.212,-34.729,117.798,59.998
0.059,0.251,0.122,-33.875,115.784,53.772
0.125,0.283,0.047,-30.823,114.807,45.227
0.206,0.296,-0.026,-24.536,113.098,36.621
0.293,0.309,-0.089,-19.592,107.117,28.259
0.364,0.300,-0.127,-16.907,97.900,21.790
0.431,0.295,-0.162,-14.648,88.257,17.517
0.469,0.292,-0.225,-12.268,76.599,13.306
0.512,0.273,-0.244,-10.254,64.697,7.324
0.541,0.271,-0.278,-8.301,56.519,3.845
0.549,0.277,-0.334,-5.554,50.354,2.502
0.527,0.277,-0.380,-2.380,46.631,1.099
0.449,0.321,-0.577,2.197,47.607,0.183
0.460,0.487,-0.670,0.244,45.532,-6.836
0.426,0.316,-0.500,35.278,31.311,-17.883
0.440,0.278,-0.379,49.316,20.569,-20.630
0.478,0.265,-0.376,45.471,16.113,-24.597
0.521,0.296,-0.382,42.053,4.639,-28.137
0.537,0.295,-0.397,36.194,-10.071,-29.053
0.519,0.256,-0.366,32.410,-27.405,-29.236
0.512,0.204,-0.308,31.189,-43.823,-30.334
0.531,0.191,-0.272,27.527,-58.716,-31.677
0.544,0.204,-0.284,20.325,-73.853,-33.081
0.529,0.199,-0.319,12.024,-84.961,-35.461
0.516,0.178,-0.325,10.437,-88.806,-38.452
0.501,0.167,-0.299,17.944,-88.928,-39.856
0.471,0.158,-0.237,28.870,-88.806,-39.001
0.429,0.148,-0.159,37.292,-91.003,-37.720
0.397,0.143,-0.093,39.185,-97.290,-39.612
0.384,0.133,-0.043,35.461,-108.459,-43.396
0.378,0.102,0.005,29.968,-125.916,-47.485
0.412,0.074,0.059,23.621,-146.240,-50.537
0.445,0.057,0.105,16.846,-169.067,-51.331
0.431,0.026,0.143,9.644,-195.129,-49.744
0.378,-0.005,0.162,2.441,-216.431,-49.011
0.339,-0.062,0.180,-0.732,-220.703,-50.049
0.332,-0.077,0.198,4.028,-210.449,-49.377
0.311,-0.057,0.216,15.320,-195.007,-46.143
0.229,-0.056,0.282,30.884,-179.932,-40.527
0.141,-0.063,0.364,41.138,-168.396,-35.828
0.069,-0.075,0.435,44.495,-162.476,-33.936
0.013,-0.083,0.495,46.204,-164.978,-34.790
-0.018,-0.092,0.569,45.410,-173.096,-37.354
-0.036,-0.094,0.667,44.006,-182.922,-40.100
-0.043,-0.114,0.728,47.852,-190.857,-37.476
-0.081,-0.133,0.637,55.054,-201.538,-28.320
-0.150,-0.109,0.854,45.349,-220.947,-24.231
-0.199,-0.041,1.004,56.274,-223.206,-22.461
-0.275,-0.169,0.903,96.252,-198.914,-49.988
-0.332,-0.242,0.944,108.276,-182.434,-67.139
-0.406,-0.293,1.024,103.577,-176.758,-69.641
-0.463,-0.362,1.105,104.492,-172.424,-67.627
-0.463,-0.410,1.187,107.788,-172.791,-68.237
-0.448,-0.442,1.284,113.953,-177.063,-73.242
-0.384,-0.459,1.370,117.310,-175.354,-75.928
-0.332,-0.484,1.447,121.582,-164.124,-76.294
-0.306,-0.532,1.526,125.549,-148.376,-78.186
-0.266,-0.588,1.611,126.221,-133.423,-82.581
-0.213,-0.641,1.678,123.901,-122.009,-88.745
-0.139,-0.706,1.748,115.845,-112.122,-93.689
-0.048,-0.746,1.786,102.600,-100.159,-94.788
-0.019,-0.778,1.795,92.285,-88.745,-92.407
0.030,-0.810,1.815,81.787,-80.688,-91.553
0.086,-0.850,1.827,70.496,-72.815,-91.370
0.113,-0.868,1.811,60.974,-63.599,-88.745
0.139,-0.884,1.772,54.932,-55.115,-85.266
0.154,-0.878,1.754,44.800,-49.194,-80.933
0.185,-0.869,1.693,35.278,-41.260,-74.524
0.165,-0.872,1.650,27.405,-33.020,-68.298
0.152,-0.861,1.610,18.250,-25.940,-63.477
0.163,-0.846,1.554,10.559,-18.433,-59.265
0.176,-0.816,1.509,3.296,-13.794,-54.626
0.177,-0.784,1.457,-3.357,-11.536,-49.561
0.152,-0.766,1.395,-8.118,-9.338,-44.067
0.110,-0.751,1.338,-12.451,-6.775,-38.147
0.076,-0.734,1.276,-14.465,-4.028,-33.752
0.053,-0.700,1.224,-15.503,-2.563,-32.104
0.062,-0.660,1.174,-15.503,-2.258,-32.349
