aX,aY,aZ,gX,gY,gZ
0.105,1.924,1.818,127.441,-29.968,2.747
-0.690,-0.146,0.851,291.992,-5.554,-75.745
-0.583,-0.233,0.633,134.094,9.949,-38.757
-0.388,0.111,0.848,-66.223,-9.033,30.396
-0.343,0.227,0.946,-113.159,-27.222,50.476
-0.301,0.300,1.073,-103.088,-37.170,44.067
-0.241,0.252,1.118,-48.096,-43.335,31.616
-0.155,0.265,1.090,8.240,-42.419,21.667
-0.059,0.402,1.035,28.931,-35.522,11.658
-0.059,0.400,1.019,25.818,-29.602,-6.897
-0.094,0.340,1.017,13.977,-25.330,-24.841
-0.102,0.265,1.015,0.244,-22.217,-37.537
-0.122,0.218,1.008,-11.597,-20.996,-46.265
-0.168,0.244,0.992,-17.395,-18.982,-50.842
-0.182,0.186,0.942,-10.071,-16.541,-57.617
-0.181,0.145,0.905,-3.052,-17.883,-64.575
-0.170,0.262,0.910,-4.578,-21.790,-67.749
-0.149,0.316,0.910,1.648,-24.292,-75.623
-0.069,0.259,0.909,10.498,-27.344,-90.393
-0.082,0.138,0.956,8.179,-31.067,-105.957
-0.014,0.036,1.016,-2.563,-32.043,-111.633
0.019,0.069,1.076,-12.207,-29.724,-107.849
0.024,0.149,1.078,-9.827,-23.499,-106.079
0.020,0.235,1.037,-0.793,-16.663,-111.694
-0.007,0.263,0.992,5.371,-14.404,-125.183
-0.022,0.172,0.975,3.662,-15.381,-140.808
-0.030,-0.002,1.000,-3.235,-17.395,-148.560
-0.013,-0.159,1.024,-14.343,-15.442,-140.808
-0.016,-0.207,1.062,-28.442,-11.658,-122.375
-0.001,-0.213,1.094,-28.809,-8.789,-106.323
0.018,-0.203,1.093,-14.709,-5.737,-100.159
0.051,-0.188,1.094,0.061,-2.625,-100.952
0.029,-0.171,1.064,11.536,6.042,-107.727
0.046,-0.131,1.060,17.639,16.357,-114.014
0.087,-0.216,1.063,21.301,21.851,-118.469
0.105,-0.308,1.072,21.851,26.001,-117.798
0.104,-0.264,1.079,14.160,30.518,-106.445
0.097,-0.220,1.047,13.672,36.621,-96.985
0.090,-0.305,1.013,21.118,39.429,-95.215
0.061,-0.376,1.000,21.545,38.147,-92.957
0.013,-0.406,0.968,15.503,36.255,-83.435
0.011,-0.501,0.968,0.732,32.898,-67.078
0.007,-0.528,1.025,-12.878,26.611,-47.119
0.003,-0.550,1.121,-17.273,21.667,-30.640
0.018,-0.550,1.210,-13.550,22.339,-19.043
0.018,-0.452,1.260,-6.287,26.367,-9.399
0.018,-0.427,1.263,0.610,32.959,-4.700
0.022,-0.464,1.251,-0.671,39.856,-0.854
0.037,-0.432,1.284,-10.498,46.204,7.629
0.058,-0.352,1.296,-19.226,52.612,16.357
0.049,-0.438,1.256,-21.118,59.387,17.883
0.036,-0.533,1.215,-27.893,64.575,20.203
0.014,-0.526,1.176,-36.682,67.444,31.433
-0.035,-0.517,1.101,-36.072,71.960,42.969
-0.085,-0.538,1.013,-27.649,75.867,52.429
-0.109,-0.521,0.962,-19.897,75.684,62.866
-0.097,-0.492,0.945,-13.428,72.815,73.853
-0.084,-0.532,0.945,-2.869,70.313,84.106
-0.084,-0.536,0.953,3.296,69.519,96.985
-0.109,-0.472,0.962,0.061,72.388,114.502
-0.166,-0.402,0.911,-6.714,76.172,135.254
-0.232,-0.212,0.876,-9.583,78.857,152.588
-0.254,-0.016,0.821,-5.493,81.360,155.212
-0.251,-0.057,0.739,13.733,78.613,144.348
-0.306,-0.192,0.660,23.437,70.068,128.479
-0.286,-0.310,0.646,10.864,57.617,121.521
-0.295,-0.393,0.694,-4.761,43.640,125.122
-0.303,-0.430,0.720,-9.521,34.729,134.949
-0.319,-0.481,0.726,-4.517,29.541,144.592
-0.328,-0.577,0.733,5.371,24.414,157.227
-0.360,-0.620,0.729,16.418,22.766,172.729
-0.434,-0.459,0.726,22.705,22.400,191.406
-0.523,-0.117,0.749,21.912,19.592,206.116
-0.538,0.255,0.781,32.043,15.381,202.637
-0.506,0.443,0.741,60.181,11.292,177.734
-0.495,0.264,0.645,79.224,3.784,147.705
-0.477,0.026,0.650,55.664,-7.568,138.367
-0.425,-0.030,0.752,7.629,-16.357,152.283
-0.386,-0.111,0.805,-23.315,-19.165,169.983
-0.418,-0.229,0.875,-31.189,-20.691,182.983
-0.445,-0.285,0.918,-25.574,-20.630,194.153
-0.550,-0.146,0.919,-7.446,-16.602,203.857
-0.590,0.353,0.983,7.690,-15.259,211.243
-0.500,0.631,0.963,48.584,-15.076,196.838
-0.471,0.470,0.847,110.229,-15.808,157.898
-0.423,0.409,0.876,123.779,-22.644,129.028
-0.419,0.575,0.950,92.896,-30.457,122.070
-0.418,0.691,1.014,60.486,-31.677,117.798
-0.426,0.520,1.009,43.884,-32.227,106.079
-0.387,0.338,1.036,28.015,-35.706,94.910
-0.328,0.182,1.100,9.338,-41.565,89.111
-0.294,0.086,1.165,2.258,-45.288,87.097
-0.268,0.046,1.216,9.033,-43.457,87.952
-0.249,0.085,1.247,20.630,-36.682,89.966
-0.232,0.250,1.291,29.358,-29.175,91.064
-0.286,0.427,1.204,45.776,-20.142,82.764
-0.346,0.571,1.090,56.152,-11.841,62.073
-0.377,0.588,1.001,54.138,-9.399,33.020
-0.340,0.493,0.988,42.114,-15.930,7.202
-0.339,0.387,1.012,25.208,-25.696,-6.592
-0.302,0.334,1.071,10.132,-30.029,-12.085
-0.284,0.251,1.054,11.536,-29.724,-18.494
-0.260,0.253,1.078,15.503,-30.396,-26.611
-0.232,0.283,1.095,21.912,-30.457,-36.926
-0.234,0.245,1.073,31.494,-27.466,-49.133
-0.223,0.229,1.057,33.325,-23.804,-57.739
-0.206,0.235,1.066,22.949,-23.071,-63.354
-0.176,0.253,1.097,11.536,-23.071,-68.298
-0.195,0.340,1.111,6.287,-22.156,-71.350
-0.199,0.370,1.086,9.338,-19.348,-77.942
-0.238,0.313,1.028,12.146,-15.564,-88.257
-0.197,0.270,1.015,6.348,-14.954,-97.473
-0.248,0.241,1.001,3.296,-14.771,-108.276
-0.211,0.140,0.972,7.202,-15.869,-117.371
-0.112,-0.010,0.998,7.141,-16.846,-124.512
-0.059,-0.040,1.056,2.014,-14.648,-124.390
-0.030,0.051,1.090,1.099,-8.362,-122.803
-0.010,0.183,1.106,9.460,-0.977,-126.526
0.007,0.195,1.083,26.672,5.798,-141.296
-1.148,0.410,0.866,399.048,119.141,-199.158
-0.432,-0.467,0.758,721.375,165.710,-129.639
0.279,-0.853,0.877,647.827,197.144,-113.403
0.462,-0.842,0.701,326.477,202.637,-124.878
0.262,-0.694,0.767,216.492,172.913,-102.051
0.076,-0.572,0.650,201.660,135.376,-60.547
0.100,-0.643,0.450,184.204,105.713,-24.292
0.200,-0.716,0.420,99.365,81.665,-12.512
0.142,-0.755,0.604,-9.338,53.284,-13.306
0.159,-0.949,0.829,-75.378,28.687,-10.681
0.152,-1.024,0.914,-116.333,21.790,2.014
0.054,-0.767,0.847,-156.372,24.536,23.926
-0.100,-0.218,0.746,-176.331,27.283,33.752
-0.113,0.038,0.610,-167.297,27.832,-0.061
0.027,-0.067,0.632,-98.450,26.733,-64.697
0.061,0.394,0.557,4.822,27.710,-124.207
0.055,0.021,0.780,118.713,15.503,-208.618
-0.058,-0.846,0.969,98.999,3.418,-307.617
-0.121,-1.426,0.998,33.325,16.052,-309.387
0.043,-1.683,0.892,30.579,40.649,-213.928
0.110,-1.365,0.738,49.500,52.979,-76.965
0.027,-0.704,0.689,71.655,46.570,35.950
0.111,-0.275,0.703,107.910,30.823,81.909
0.253,-0.232,0.629,103.271,17.700,73.792
0.133,-0.387,0.535,67.505,6.042,41.748
0.045,-0.542,0.549,30.884,-3.784,19.165
-0.009,-0.549,0.623,10.254,-9.399,18.860
0.123,-0.265,0.657,15.381,-10.254,32.654
0.116,0.020,0.719,10.376,-5.188,33.936
0.119,-0.020,0.935,26.855,-5.310,1.648
0.161,-0.244,1.067,76.233,-6.531,-38.574
0.123,-0.505,0.941,130.432,7.019,-57.373
0.202,-0.666,0.880,119.690,23.743,-62.927
0.189,-0.784,0.812,95.276,32.715,-62.805
