aX,aY,aZ,gX,gY,gZ
-0.803,0.986,0.763,-8.606,17.761,82.703
-0.707,1.099,0.761,13.611,-1.953,86.365
-0.663,1.256,0.727,36.194,-32.471,88.501
-0.597,1.423,0.689,48.950,-66.223,88.379
-0.559,1.597,0.750,47.668,-88.318,86.060
-0.506,1.700,0.822,33.081,-96.008,87.097
-0.424,1.790,0.876,9.644,-85.571,94.666
-0.280,1.815,0.885,-15.686,-60.608,103.577
-0.146,1.812,0.890,-43.762,-33.691,106.384
-0.047,1.770,0.913,-69.946,-11.963,98.328
0.000,1.694,0.959,-92.590,4.700,81.909
0.002,1.568,0.994,-109.680,19.470,62.927
-0.047,1.434,1.022,-117.432,29.968,41.992
-0.118,1.333,1.049,-114.075,37.659,20.264
-0.228,1.236,1.071,-100.586,44.128,1.587
-0.281,1.126,1.007,-82.825,46.082,-13.184
-0.330,0.998,0.935,-63.293,42.236,-25.452
-0.385,0.867,0.898,-42.053,30.090,-37.415
-0.388,0.744,0.851,-18.738,18.921,-49.744
-0.409,0.680,0.810,5.371,1.221,-62.744
-0.430,0.666,0.762,30.518,-19.470,-75.134
-0.435,0.670,0.705,51.636,-34.851,-83.191
-0.437,0.685,0.675,64.697,-41.565,-86.182
-0.425,0.695,0.636,67.688,-43.030,-85.938
-0.373,0.714,0.581,61.707,-41.199,-84.595
-0.316,0.751,0.535,49.377,-38.635,-85.632
-0.292,0.787,0.515,32.227,-36.987,-89.417
-0.304,0.788,0.523,10.559,-35.828,-93.506
-0.246,0.777,0.558,-12.451,-27.466,-96.619
-0.284,0.685,0.639,-33.081,-18.127,-96.497
-0.247,0.551,0.752,-49.500,-13.794,-100.159
-0.193,0.448,0.828,-53.833,-18.738,-104.736
-0.183,0.347,0.896,-44.373,-34.119,-105.469
-0.159,0.243,0.951,-25.635,-53.223,-105.591
-0.171,0.178,0.983,-2.197,-71.838,-104.309
-0.190,0.139,0.994,24.414,-84.229,-102.051
-0.177,0.081,0.994,50.476,-88.501,-99.365
-0.171,0.035,0.991,69.031,-83.313,-95.520
-0.113,-0.026,0.984,79.163,-72.815,-92.285
-0.041,-0.131,0.997,82.581,-58.472,-89.294
-0.013,-0.199,1.005,78.369,-47.180,-88.013
0.010,-0.236,0.990,70.557,-36.743,-89.417
0.002,-0.260,0.997,63.843,-26.306,-89.722
-0.027,-0.269,0.998,58.167,-16.602,-88.928
0.004,-0.270,1.007,54.199,-3.418,-88.440
0.022,-0.350,1.068,51.697,5.066,-84.229
-0.002,-0.397,1.051,43.945,-5.066,-79.712
-0.010,-0.404,1.040,36.255,-17.212,-78.186
-0.028,-0.403,1.021,33.325,-21.301,-73.364
-0.046,-0.419,1.010,30.029,-17.273,-65.125
-0.095,-0.393,1.003,25.208,-12.939,-55.908
-0.134,-0.312,1.006,20.996,-7.996,-45.898
-0.132,-0.252,1.004,18.799,-4.639,-33.752
-0.094,-0.214,1.001,17.761,-4.944,-22.034
-0.055,-0.157,1.006,18.250,-7.324,-13.855
